NewsTitle,NewsDate,Region,Province,Department,Link_News
"มาเลเซียจะได้รับวัคซีนป้องกันโรคโควิด-19 ของแอสตราเซเนกา ชุดแรก จำนวน 600,000 โดส ในเดือนมิถุนายนนี้",1/4/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210401111549085
โฆษก กต.เผยวันนี้เริ่มลดวันกักตัวสำหรับผู้เดินทางเข้าประเทศ และยกเลิกเอกสารบางอย่าง เพื่อผ่อนคลายมาตรการเดินทางจากสถานการณ์โควิด,1/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210401143321172
กัมพูชาได้รับวัคซีนป้องกันโรคโควิด-19 ชุดใหม่ของซิโนฟาร์มจากจีน,1/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210401204323360
อิสราเอลมุ่งหมายจะฉีดวัคซีนป้องกันโรคโควิด-19 ของไฟเซอร์ไบโอเอ็นเทคให้เด็กอายุ12-15 ปี ภายในเดือนพฤษภาคมนี้,2/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210401205435370
ฮ่องกงจะกลับมาฉีดวัคซีนป้องกันโรคโควิด-19 ของบริษัทไฟเซอร์-ไบโอเอ็นเทค อีกครั้งวันจันทร์หน้า,2/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210402123946520
บรูไนจะเริ่มโครงการฉีดวัคซีนป้องกันโรคโควิด-19 ในวันพรุ่งนี้,2/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210402190110773
วัคซีนต้านโควิด-19 ของไฟเซอร์ไบโอเอ็นเท็ค สามารถคงประสิทธิภาพการป้องกันในระดับสูงเป็นเวลาอย่างน้อย 6 เดือนหลังการฉีดครบสองโดส,2/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210402190123774
เกาหลีใต้ มียอดผู้ติดเชื้อโควิด-19 รายวัน มากกว่า 500 คน เป็นวันที่สี่ติดต่อกัน,3/4/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210403184054041
นายกรัฐมนตรีญี่ปุ่นเข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19 เข็มที่สอง ก่อนเดินทางเยือนสหรัฐฯ ในสัปดาห์หน้า,6/4/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210406122111710
ญี่ปุ่นเริ่มฉีดวัคซีนป้องกันโรคโควิด-19 ให้ประชาชนที่อายุ 65 ปีขึ้นไปแล้ว ขณะที่การแพร่ระบาดระลอก 4 กำลังทำให้จำนวนผู้ติดเชื้อพุ่งสูง,12/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210412174453283
บริษัทไฟเซอร์ระบุว่า จะสามารถจัดส่งวัคซีนป้องกันโรคโควิด-19 อีกร้อยละ 10 ได้ภายในสิ้นเดือนพฤษภาคมนี้,14/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210414100646737
รายงานพิเศษ : ความคืบหน้าวัคซีนป้องกันโรคโควิด-19 (15 เม.ย. 64),15/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210415171219250
รายงานพิเศษ: อังกฤษเดินหน้าผ่อนคลายมาตรการล็อกดาวน์ หลังกระบวนการฉีดวัคซีนโควิด-19 ประสบผลสำเร็จ ,16/4/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210416084036321
ผู้บริหารบริษัทไฟเซอร์ชี้ว่าผู้ได้รับวัคซีนป้องกันโควิด-19 ครบสองโดสแล้วอาจจำเป็นต้องฉีดโดสที่สาม เพื่อกระตุ้นภูมิคุ้มกันภายในระยะเวลา 6-12 เดือน,16/4/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210416194248636
บริษัท ไฟเซอร์ แนะให้ประชาชนที่ฉีดวัคซีนโควิด-19 ครับแล้ว ฉีดวัคซีนเข็มที่ 3 เพื่อกระตุ้นภูมิคุ้มกัน,16/4/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210417115127745
