NewsTitle,NewsDate,Region,Province,Department,Link_News
ประชากรวัยผู้ใหญ่ร้อยละ 72 ในไอร์แลนด์ได้รับการฉีดวัคซีนโควิด-19ครบโดสแล้ว,1/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210801213007205
"วัคซีนไฟเซอร์ 150,000 โดส กระจายฉีดให้กับชาวต่างชาติในประเทศไทย",1/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210801203154182
ประชากรวัยผู้ใหญ่ร้อยละ 72.4 ในไอร์แลนด์ได้รับการฉีดวัคซีนโควิด-19ครบโดสแล้ว,1/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210801213237210
ศบค. เปิดเผยพบผู้เสียชีวิตจากโควิด-19 กระจายไปในต่างจังหวัดมากขึ้น ,1/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210801211241201
ปรับเพิ่มพื้นที่สีแดงเข้มเป็น 29 จังหวัด ขยายมาตรการงดออกนอกเคหะสถานหลัง 21.00 - 04.00 น. เริ่ม 3 สิงหาคมนี้,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210801204524188
เยอรมนีเตรียมฉีดวัคซีนโควิด-19 เข็ม 3 ให้ประชาชนตั้งแต่เดือนกันยายนนี้เป็นต้นไป,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802053719225
อิสราเอลเริ่มฉีดวัคซีนโควิด-19 เข็มสามเพื่อกระตุ้นภูมิคุ้มกันให้กลุ่มผู้สูงอายุแล้วเมื่อวานนี้,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802092419233
นายกรัฐมนตรี รับมอบวัคซีนไฟเซอร์ จากรัฐบาลสหรัฐฯ จำนวน 1.5 ล้านโดส,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802150036405
อิสราเอลเริ่มฉีดวัคซีนโควิด-19 เข็มสามเพื่อกระตุ้นภูมิคุ้มกันให้กลุ่มผู้สูงอายุแล้วเมื่อวานนี้,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802120032316
กระทรวงสาธารณสุข ยืนยัน วัคซีนไฟเซอร์  1.5ล้านโดส ไม่มีปันส่วน VIP ,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802145502396
ประกาศขยายระยะเวลาล็อกดาวน์ จะมีผลตั้งแต่หลังเที่ยงคืนวันนี้ ,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802194456580
ประมวลข่าวทั่วไทยประจำวันที่ 2 สิงหาคม 2564,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210802154359462
นครพนม แจ้งด่วนมาตรการข้อปฏิบัติเดินทางเข้าออก ในพื้นที่จังหวัดต้องทำอย่างไร,2/8/2021,ภาคตะวันออกเฉียงเหนือ,นครพนม,สวท.นครพนม,https://thainews.prd.go.th/th/news/detail/TCATG210802174734527
สหรัฐอาหรับเอมิเรตส์อนุมัติให้ฉีดวัคซีนโควิด-19 ของซิโนฟาร์มในเด็กอายุ 3-17 ปี,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802194453579
บริษัทไฟเซอร์ อิงค์ และโมเดอร์นา อิงค์ ของสหรัฐ ปรับราคาวัคซีนโควิด-19 สูงขึ้นในข้อตกลงฉบับล่าสุดกับสหภาพยุโรป,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210802194331573
สธ.ขอประชาชนอยู่บ้านหยุดเชื้ออีก 2 สัปดาห์หลังขยายล็อกดาวน์ ลดติดเชื้อและเสียชีวิต,2/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210802234911659
ผลการศึกษาของสถาบันซีรั่มแห่งเดนมาร์ก พบว่า การฉีดวัคซีนโควิด-19 สลับชนิด มีประสิทธิภาพในการป้องกันเชื้อโควิด-19 ได้เป็นอย่างดี.,3/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210803072057665
เยอรมนีเตรียมฉีดวัคซีนโควิด-19 เข็ม กระตุ้นให้ผู้สูงอายุและกลุ่มเสี่ยง ป้องกันการระบาดของเชื้อสายพันธุ์เดลตา,3/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210803123125809
สหรัฐบริจาควัคซีนโควิด-19 กว่า 110 ล้านโดสให้กว่า 60 ประเทศทั่วโลกแล้ว,4/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210804010710155
องค์การอาหารและยาสหรัฐเตรียมอนุมัติใช้วัคซีนโควิด-19 ของไฟเซอร์ไบโอเอ็นเทคอย่างเต็มรูปแบบ,4/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210804124518287
เร่งสอบสวนโรค ค้นหาผู้ป่วย แยกกลุ่มเสี่ยงสูง เสี่ยงต่ำ ลดการแพร่กระจายเชื้อในชุมชน ,4/8/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210804143159345
