NewsTitle,NewsDate,Region,Province,Department,Link_News
สำนักงานปลัดกระทรวงสาธารณสุข ยืนยันกรณีข่าวนักวิทยาศาสตร์ฉีดวัคซีนโควิด-19 แล้วเสียชีวิตเป็นข่าวปลอม,3/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210503200311843
ผู้บริหารบริษัทไฟเซอร์อยู่ระหว่างหารือกับรัฐบาลอินเดีย เพื่อเร่งให้มีการอนุมัติวัคซีนโควิด-19 ของบริษัทฯ โดยเร็ว,3/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210503165012741
องค์การยาแห่งยุโรปเริ่มประเมินการใช้วัคซีนโควิด-19 ของไฟเซอร์ไบโอเอ็นเทค ในเด็กอายุระหว่าง12-15 ปี,4/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505134512322
มาเลเซียประกาศใช้วัคซีนโควิด-19 ของแอสตราเซเนกาเป็นวัคซีนทางเลือก,4/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505134524324
เดนมาร์กสั่งห้ามการใช้วัคซีนโควิด-19ของจอห์นสันแอนด์จอห์นสันเนื่องจากกังวลเกี่ยวกับผลข้างเคียงที่อาจทำให้เกิดภาวะลิ่มเลือดอุดตัน,4/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505134422319
สหรัฐคาดว่าจะอนุมัติใช้วัคซีนโควิด-19ของไฟเซอร์ไบโอเอ็นเทค ในเด็กอายุ 12 ปีขึ้นไป,4/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505134324316
เดนมาร์กสั่งห้ามการใช้วัคซีนโควิด-19ของจอห์นสันแอนด์จอห์นสันเนื่องจากกังวลเกี่ยวกับผลข้างเคียงที่อาจทำให้เกิดภาวะลิ่มเลือดอุดตัน,4/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505134259313
รายงานพิเศษ : วัคซีนโควิด-19 ในเด็ก (5 พ.ค. 64 : 12.00 น.),5/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505092314148
อังกฤษจะให้ประชาชนที่มีอายุ 50 ปีขึ้นไปได้รับสิทธิฉีดวัคซีนโควิด-19 โดสสามในช่วงฤดู                 ใบไม้ร่วงนี้,5/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210506094413590
อย. ยืนยันวัคซีนโควิด-19 ได้รับการขึ้นทะเบียนขณะนี้มี 3 ราย อยู่ระหว่างพิจารณา 1 ราย ทยอยยื่นเอกสาร 2 ราย ,5/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505211227524
อย. ยืนยัน บริษัทไฟเซอร์ยังไม่มีการนำเข้าวัคซีนโควิด-19,5/5/2021,ภาคเหนือ,ลำปาง,สวท.ลำปาง,https://thainews.prd.go.th/th/news/detail/TCATG210505152840358
แพทย์ผู้เชี่ยวชาญ ย้ำการฉีดวัคซีนโควิด ป้องกันเจ็บป่วยรุนแรงและลดเสียชีวิต ได้เกือบ 100 เปอร์เซ็นต์,5/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505212048531
อินเดียเผชิญปัญหาขาดแคลนวัคซีนโควิด-19 อย่างหนัก หลังยอดผู้ติดเชื้อและเสียชีวิตจากแพร่ระบาดโรคโควิด-19 ยังคงเพิ่มขึ้นอย่างรวดเร็ว,5/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505213103542
ทางการเกาหลีใต้ ระบุวัคซีนของแอสตราเซเนกา และไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิในการต้านเชื้อโควิด-19 ได้เป็นอย่างดี,5/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505213129543
อังกฤษ มีแผนฉีดวัคซีนโควิด-19 เข็มที่สาม ให้ประชาชนที่มีอายุ 50 ปี ขึ้นไป,5/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505213150544
นายกรัฐมนตรี ย้ำแผนบริหารจัดการวัคซีนมีประสิทธิภาพ ตั้งเป้าภายในสิ้นปี คนไทยต้องได้รับวัคซีนอย่างน้อยร้อยละ 70 หรือ 50 ล้านคน,5/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210505200401494
รายงานพิเศษ: วัคซีนโควิด-19 ของโมเดอร์นา อีกหนึ่งทางเลือกการรับมือโรคโควิด-19 (6 พ.ค. 2564 ภาค 12.00 น.),6/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210509084907800
ผู้เชี่ยวชาญเตือนว่า จำนวนผู้ติดเชื้อโควิด-19 ในอินเดียจะยังคงพุ่งสูงไปจนถึงสิ้นเดือนนี้ และตัวเลขผู้ติดเชื้อรายวันอาจสูงถึง 5 แสนคนต่อวัน,6/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210506072427567
แคนาดากลายเป็นชาติแรกในโลกที่อนุมัติใช้วัคซีนโควิด-19 ของไฟเซอร์ในเด็กอายุ 12 ปีขึ้นไป,6/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210506072333566
ผลการศึกษาในสภาวะจริงครั้งใหญ่ที่สุดชี้ว่า วัคซีนไฟเซอร์/ไบโอเอ็นเทคมีประสิทธิภาพในการป้องกันโรคโควิด-19ได้มากกว่าร้อยละ 95,6/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210506202003009
ทางการนครนิวยอร์กของสหรัฐประกาศพร้อมฉีดวัคซีนโควิด-19ของจอห์นสันแอนด์จอห์นสันให้กับนักท่องเที่ยวในเร็วๆนี้,7/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210507130535199
สาธารณสุขจังหวัดนครสวรรค์ ยืนยันการฉีดวัคซีนป้องกันอาการเจ็บป่วยที่รุนแรงและลดการเสียชีวิตจากโรค COVID-19 ได้เกือบ 100 เปอร์เซ็นต์,7/5/2021,ภาคกลางและปริมณฑล,นครสวรรค์,สวท.นครสวรรค์,https://thainews.prd.go.th/th/news/detail/TCATG210507130310195
เยอรมนีจะอนุญาตให้ใช้วัคซีนโควิด-19 ของแอสตราเซเนกากับประชาชนวัยผู้ใหญ่ทุกช่วงอายุ,7/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210507132106208
ยอดผู้ติดเชื้อโควิด-19 สะสมของบราซิล มากกว่า 15 ล้านคนแล้ว,7/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210507191118494
องค์การอนามัยโลกอนุมัติใช้วัคซีนโควิด-19 ของซิโนฟาร์มเป็นกรณีฉุกเฉินแล้ว,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174056711
องค์การอนามัยโลกขอให้รัฐบาลประเทศต่างๆระงับการฉีดวัคซีนโควิด-19ในเด็กไว้ก่อน,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174131714
องค์การอนามัยโลกขอให้รัฐบาลประเทศต่างๆระงับการฉีดวัคซีนโควิด-19ในเด็กไว้ก่อน,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174337722
"ประชาชนในมาเลเซีย สมัครใจ จองฉีดวัคซีนแอสตราเซเนกา 268,000 โดส เต็มภายใน 3 ชั่วโมง รัฐบาลเตรียมขยายพื้นที่ฉีดเพิ่มในสัปดาห์หน้า",8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210508115608582
บริษัทไฟเซอร์ยื่นคำร้องต่อองค์การการอาหารและยาสหรัฐเพื่อขออนุมัติใช้งานวัคซีนโควิด-19ในแบบปกติ,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174303717
ศรีลังกาอนุมัติการใช้วัคซีนโควิด-19 ของบริษัทไฟเซอร์เป็นการฉุกเฉินแล้ว,9/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210509170458965
บริษัทไบโอเอ็นเทคระบุว่า ไม่มีหลักฐานบ่งชี้ว่า วัคซีนโควิด-19 ของบริษัทต้องได้รับการปรับปรุงเพื่อให้สามารถต้านเชื้อโควิด-19 กลายพันธุ์ได้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511004748273
สหรัฐฯ อนุญาตให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับผู้ที่มีอายุระหว่าง 12 – 15 ปี,11/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511105053338
สหรัฐอนุมัติวัคซีนโควิด-19 ของบริษัทไฟเซอร์-ไบโอเอ็นเทค เพื่อใช้ในเด็กอายุระหว่าง 12-15 ปีแล้ว,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511124137400
สหภาพยุโรปอาจอนุมัติวัคซีนโควิด-19 ของบริษัทไฟเซอร์ สำหรับใช้ในเด็กวัย 12-15 เร็วๆ นี้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511124145401
ผลการศึกษาในสภาวะใช้งานจริงพบว่าวัคซีนโควิด-19 ของไฟเซอร์สามารถป้องกันการเกิดอาการรุนแรงในผู้ติดเชื้อกลายพันธุ์สายพันธุ์อังกฤษและแอฟริกาใต้ได้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511195025672
ญี่ปุ่น เตรียมดำเนินการฉีดวัคซีนโควิด-19 ในเด็กอายุระหว่าง 12-15 ปี,12/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210512115803830
