NewsTitle,NewsDate,Region,Province,Department,Link_News
ศึกษาธิการจังหวัดปัตตานีประชุมเตรียมการฉีดวัคซีน Pfizer ให้กับนักเรียนนักศึกษา,1/10/2021,ภาคใต้,ปัตตานี,สวท.ปัตตานี,https://thainews.prd.go.th/th/news/detail/TCATG211001160651201
"จ.ตรัง ประชุมคณะกรรมการโรคติดต่อจังหวัดตรัง ครั้งที่ 312564 ด้าน ผู้ว่าฯตรัง ระบุการฉีดวัคซีนเด็กอายุ 12 -18 ปี แจ้งความประสงค์แล้ว 43,634 ราย",1/10/2021,ภาคใต้,ตรัง,สวท.ตรัง,https://thainews.prd.go.th/th/news/detail/TCATG211001184048267
"สธ.ระบุเด็ก 12 ปีเสียชีวิตไม่เกี่ยวฉีดวัคซีนไฟเซอร์ พบภาวะแทรกซ้อน, ย้ำเฝ้าระวังอาการ",1/10/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สวท.อำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG211001205620342
อิสราเอล พบผู้ที่มีอาการผลข้างเคียง หลังการฉีดวัคซีนโควิด-19 เข็มกระตุ้น เพียงจำนวนน้อย,2/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211002082130363
Kick off ฉีดวัคซีนเด็กนักเรียนเยาวชน 29 จังหวัดสีแดงเข้ม  เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,2/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211002155748461
"จังหวัดตรัง ตรวจหาเชื้อ SARs-COV-2 ไปแล้วทั้งสิ้น 70,697 ราย พบผลบวก (ติดเชื้อ) 5,887 ราย และขณะนี้วัคซีนแอสตร้าเซเนก้าและวัคซีนไฟเซ่อร์ มาถึงจังหวัดตรังเรียบร้อยแล้ว",2/10/2021,ภาคใต้,ตรัง,สำนักงานประชาสัมพันธ์จังหวัดตรัง,https://thainews.prd.go.th/th/news/detail/TCATG211002150916442
จังหวัดเชียงใหม่ มีผู้ติดเชื้อโควิด-19 เพิ่ม 88 ราย,2/10/2021,ภาคเหนือ,เชียงใหม่,สวท.เชียงใหม่,https://thainews.prd.go.th/th/news/detail/TCATG211002155501460
รัฐแคลิฟอเนียร์ของสหรัฐฯ เตรียมกำหนดให้นักเรียนทุกคนต้องเข้ารับการฉีดวัคซีนโควิด-19,2/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211002195429520
ผู้ว่าฯ ตรัง เผย การฉีดวัคซีนเด็ก อายุ 12-18 ปี แจ้งความประสงค์แล้วกว่าสี่หมื่นราย,3/10/2021,ภาคใต้,ตรัง,สวท.ตรัง,https://thainews.prd.go.th/th/news/detail/TCATG211003111603564
จังหวัดพะเยาประชุมคณะกรรมการโรคติดต่อจังหวัดพะเยา เพื่อรับฟังและร่วมพิจารณาผลการประชุมการเตรียมความพร้อมและการกระจายวัคซีน Pfizer สำหรับเด็กนักเรียนอายุ 12 ปีขึ้นไปที่ศึกษาอยู่ในระดับมัธยมศึกษาหรือเทียบเท่า,3/10/2021,ภาคเหนือ,พะเยา,สวท.พะเยา,https://thainews.prd.go.th/th/news/detail/TCATG211003121748577
