,news_text
0,"ยะลา เปิดจองวัคซีนโมเดอร์นา สำหรับประชาชน 3 กลุ่ม วันนี้(1 ธ.ค 64) ทางโรงพยาบาลยะลา ได้เปิดให้ประชาชน จองวัคซีนทางเลือก โมเดอร์นา ซึ่งได้รับการจัดสรรมา จำนวน  16,000 โดส ในสัปดาห์แห่งการฉีดวัคซีนโควิด-19 สู่เป้าหมายประเทศ 100 ล้านโดส ให้กับประชาชน 3 กลุ่ม โดยกลุ่มที่ 1 ผู้ที่ฉีด ซิโนแวค+ซิโนแวค และ ชิโนฟาร์ม+ซิโนฟาร์ม ครบ 2 เข็ม  ครบ 1 เดือน ( ฉีดก่อน 4 พ.ย. 64 )  ให้มาฉีดกระตุ้น เข็มที่ 3  กลุ่มที่ 2 ผู้ที่ฉีด ซิโนแวค/แอสตร้า/ชิโนฟาร์ม/ไฟเซอร์ เข็มที่ 1 ครบ 1 เดือน ( ฉีดก่อน 4 พ.ย. 64 ) ให้มาฉีด เข็มที่ 2  และกลุ่มที่ 3 ฉีดกระตุ้น สำหรับผู้ติดเชื้อโควิด-19 ครบ 1 เดือน ไม่เคยได้รับวัคซีนใด ฯ มาก่อน  ได้รับวัคซีน 1 เข็ม ก่อนติดเชื้อ ติดเชื้อ ภายใน 2 สัปดาห์ หลังจากฉีดเข็ม 2 ให้มาฉีดกระตุ้น ด้วยโมเดอร์นา"
1,นายแพทย์พัลลภ ยอดศิรจินดา นายแพทย์สาธารณสุขจังหวัดชัยนาท เปิดเผยว่า ตามที่ สำนักงานสาธารณสุขจังหวัดชัยนาท ได้กำหนดให้ในระหว่างวันที่ 8-30 พฤศจิกายน 2564 เป็นเดือนแห่งการรณรงค์ฉีดวัคซีนโควิด-19 ให้ประชาชน มีอายุตั้งแต่ 18 ปีขึ้นไปและยังไม่ได้รับการฉีดวัคซีนโควิด-19 มาก่อน โดยได้มอบหมายให้ทุกโรงพยาบาลส่งเสริมสุขภาพตำบลทุกแห่งเร่งสำรวจประชาชนที่ยังไม่ได้รับวัคซีนในแต่ละหมู่บ้านและเชิญชวนให้มารับวัคซีน ซิโนแวคเข็มแรกได้ที่โรงพยาบาลส่งเสริมสุขภาพตำบลทุกแห่งใกล้บ้าน ได้ทุกวันเว้นวันหยุดราชการและนักขัตฤกษ์ ขณะนี้ได้ขยายเวลาไปจนถึง วันที่ 31 ธันวาคม 2564 และขอแจ้งให้ผู้ที่ได้รับวัคซีน ทั้งซิโนแวคและซิโนฟาร์มแล้ว 2 เข็ม รับการกระตุ้นไฟเซอร์เข็มที่ 3 ลงทะเบียนตั้งแต่บัดนี้ถึงวันที่ 10 ธันวาคม 2564 เพื่อร่วมกันสร้างภูมิคุ้มกันหมู่ ลดความรุนแรงและการเสียชีวิตจากการติดเชื้อโควิด-19 รองรับการเปิดประเทศของรัฐบาล รวมทั้งเพื่อการขับเคลื่อนเศรษฐกิจของจังหวัดชัยนาท ยืนยันว่าการฉีดวัคซีนมีผลดีกว่าการไม่ฉีดแน่นอน และวัคซีนไม่ว่าจะยี่ห้อใดก็ตามหากได้รับจนครบก็จะสามารถสร้างความปลอดภัย สร้างภูมิป้องกันโรคโควิด-19 
2,"""รพ.ยะลา"" เปิดจองคิวฉีดวัคซีน ""โมเดอร์น่า"" สำหรับ 3 กลุ่ม เช็กเงื่อนไขที่นี่ วันนี้ 1 ธันวาคม 2564 ประกาศจาก ""โรงพยาบาลยะลา"" เปิดบริการจองคิวฉีด ""วัคซีนโควิด"" ""โมเดอร์นา"" (Moderna) สำหรับ 3 กลุ่มต่อไปนี้ "
3,"(1 ธ.ค.64) นายเสถียร เจริญเหรียญ ผู้ว่าราชการจังหวัดประจวบคีรีขันธ์ เป็นประธานพิธีเปิดจุดบริการฉีดวัคซีนโควิด -19 เชิงรุก ที่โรงยิมเนเซี่ยม 2 สนามกีฬากลางจังหวัดประจวบคีรีขันธ์ โดยมี นายแพทย์วรา เศลวัตนะกุล นายแพทย์สาธารณสุขจังหวัดฯ นายแพทย์ศุภฤทธิ์ เฮงคราวิทย์ ผู้อำนวยการโรงพยาบาลประจวบคีรีขันธ์ นายสินาทร โอ่เอี่ยม ปลัดจังหวัดฯ นายสราวุธ ลิ้มอรุณรักษ์ นายกองค์การบริหารส่วนจังหวัดฯ และหัวหน้าส่วนราชการ ร่วมพิธี มีบุคลากรทางการแพทย์โรงพยาบาลประจวบคีรีขันธ์ มาให้บริการฉีดวัคซีนแอสตร้าเซนเนก้า เข็ม 1 สำหรับผู้ที่ลงทะเบียนทางระบบหมอประจวบพร้อม Version 2 ลำดับคิวที่ 1,201-1,700 และผู้ที่มีอายุ 18 ปีขึ้นไป ที่ยังไม่เคยได้รับวัคซีนโควิด - 19 การให้บริการวัคซีนแอสตร้าเซนเนก้า เข็ม 2 สำหรับผู้ที่ไม่ได้มาตามนัดเดิม (มีใบนัด) จำนวน 100 ราย และการให้บริการวัคซีนแอสตร้าเซนเนก้า เข็ม 3 สำหรับผู้ที่ฉีดวัคซีนซิโนแวค 2 เข็ม (ที่มีรายชื่อตามประกาศของ สสจ.ประจวบคีรีขันธ์) จำนวน 100 ราย"
4, วันที่ 1 ธ.ค. 2564 เวลา 08.30 น. นายชลธี ยังตรง ผู้ว่าราชการจังหวัดยโสธร ตรวจเยี่ยมให้กำลังใจประชาชนที่มารับการฉีดวัคซีนโควิด-19 รวมทั้งให้กำลังใจบุคลากรทางการแพทย์ อสม. และเจ้าหน้าที่ที่เกี่ยวข้อง  ณ อาคารโอทอป สวนสาธารณะพญาแถน อ.เมืองยโสธร จ.ยโสธร   โดยมี ผู้อำนวยการโรงพยาบาลยโสธร และบุคลากร ให้การต้อนรับ
5,"นายแพทย์ประดิษฐ์ ปฐวีศรีสุธา รองนายแพทย์สาธารณสุขจังหวัดระยอง แถลงสถานการณ์โควิด-19 ประจำวันนี้ ว่า สถานการณ์ผู้ติดเชื้อรายใหม่ลดลงอย่างต่อเนื่อง ล่าสุดวันนี้ พบผู้ติดเชื้อรายใหม่ 43 ราย ต่ำสุดในภาคตะวันออก และมีผู้เสียชีวิต 1 ราย  เป็นผู้สูงอายุและมีโรคประจำตัวเป็นความดันโลหิตสูงและโรคตับแข็ง ซึ่งขณะนี้ กลุ่มผู้สูงอายุ ฉีดวัคซีนไปแล้วประมาณ ร้อยละ 67.4 ส่วนภาพรวมการฉีดวัคซีนของจังหวัดระยอง มีผู้ฉีดวัคซีนแล้ว 1,354,355 เข็ม ประกอบด้วย เข็มแรก 706,042 ราย คิดเป็นร้อยละ 73.02 ของจำนวนประชากร เข็มสอง 618,133 ราย หรือร้อยละ 63.93 และเข็มสาม 29,802 ราย โดยระหว่างวันที่ 1 – 5 ธันวาคมนี้ จังหวัดระยองได้จัดสัปดาห์รณรงค์การฉีดวัคซีนขึ้น เพื่อให้ประชาชนที่ยังไม่ได้รับวัคซีนเข็มแรก ได้รับวัคซีนตามเป้า 100 ล้านโดส ตามที่รัฐบาลกำหนด สามารถเข้ารับการฉีดวัคซีนได้ที่โรงพยาบาลของรัฐทั้ง 8 แห่ง "
6,"นายแพทย์วชิระ บถพิบูลย์ นายแพทย์สาธารณสุขจังหวัดชัยภูมิ เปิดเผยว่า วันนี้ (1 ธ.ค.64) จ.ชัยภูมิ พบผู้ติดเชื้อยืนยันรายใหม่ในจังหวัด 6 ราย และรับกลับมาจากต่างจังหวัดอีก 1 ราย  ได้แก่ อ.จัตุรัส 3 ราย, อ.เมือง 2 ราย, อ.คอนสวรรค์ 1 ราย และ อ.เนินสง่า 1 ราย    สรุปยอดรวมผู้ป่วยสะสมของจังหวัดชัยภูมิอยู่ที่ 12,288 ราย กำลังรักษาตัว 231 ราย และเสียชีวิตรวม  129 ราย    "
7,จังหวัดสตูล ประชุม ศบค.จังหวัด เน้นติดตามและป้องกันการแพร่ระบาดของเชื้อโรค COVID-19 สายพันธุ์ใหม่ ในพื้นที่ทั้งทางบกและทางเรือ ย้ำวัคซีนยังเป็นสิ่งสำคัญที่สุดในการลดความรุนแรงของผู้ติดเชื้อ
8,วันที่ 1 ธ.ค. 64 เวลา 09.30 น. นายชลธี ยังตรง ผู้ว่าราชการจังหวัดยโสธร เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดยโสธร ครั้งที่ 51/2564 โดยมีคณะกรรมการโรคติดต่อจังหวัดยโสธร หัวหน้าส่วนราชการที่เกี่ยวข้อง เข้าร่วมประชุม ณ ห้องประชุม 1 ชั้น 4 สำนักงานสาธารณสุขจังหวัดยโสธร ทั้งนี้เพื่อรับทราบสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ผลการฉีดวัคซีน การรับทราบมาตรการปลอดภัยสำหรับการเยี่ยมผู้ต้องขังภายในเรือนจำจังหวัด การพิจารณาการขออนุญาตจัดงานชิม ช้อป ใช้ ของดีอำเภอเลิงนกทา การพิจารณา (ร่าง) ประกาศจังหวัด เรื่อง มาตรการเร่งด่วนในการป้องกันและควบคุมการแพร่ระบาดโรคฯ เพิ่มเติม และการหารือแนวทางในการรณรงค์ฉีดวัคซีนให้ได้ตามกลุ่มเป้าหมาย
9,ผู้ประกาศ : ตั้งแต่ช่วงปลายสัปดาห์ที่แล้ว ทั่วโลกต้องหวาดผวากับรายงานข่าวเกี่ยวกับเชื้อ     โควิด-19 กลายพันธุ์ สายพันธุ์ใหม่ “โอไมครอน” ซึ่งองค์การอนามัยโลก ระบุให้เป็นเชื้อกลายพันธุ์ที่น่ากังวล และขณะนี้หลายประเทศทั่วโลกก็ยืนยันพบการติดเชื้อโอไมครอนในประเทศของตนแล้ว ไปทำความรู้โอไมครอนได้ในรายงานพิเศษ
