NewsTitle,NewsDate,Region,Province,Department,Link_News
ยะลา เปิดจองวัคซีนโมเดอร์นา สำหรับประชาชน 3 กลุ่ม,1/12/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211201093248018
สธ.ชัยนาท ขยายเวลา Walk in ฉีดวัคซีนโควิด-19 เข็มแรก ถึง 31 ธ.ค 64 และเปิดให้ลงทะเบียนกระตุ้นไฟเซอร์ เข็ม 3 ตั้งแต่บัดนี้ถึง 10 ธ.ค.64 ได้ที่ รพ.สต.ใกล้บ้าน วันที่ 1 ธันวาคม 2564,1/12/2021,ภาคกลางและปริมณฑล,ชัยนาท,สวท.ชัยนาท,https://thainews.prd.go.th/th/news/detail/TCATG211201100617028
"รพ.ยะลา เปิดจองคิวฉีดวัคซีน ""โมเดอร์น่า"" สำหรับ 3 กลุ่ม เช็กเงื่อนไขที่นี่",1/12/2021,ภาคใต้,ยะลา,สวท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211201100028024
ผู้ว่าฯ ประจวบคีรีขันธ์ เปิดจุดบริการฉีดวัคซีนโควิดเชิงรุกที่โรงยิม สนามกีฬากลางจังหวัดฯ ในสัปดาห์แห่งการฉีดวัคซีนสู่เป้าหมาย 100 ล้านโดส,1/12/2021,ภาคตะวันตก,ประจวบคีรีขันธ์,สวท.ประจวบคีรีขันธ์,https://thainews.prd.go.th/th/news/detail/TCATG211201104442037
ผู้ว่าฯ ยโสธร ชื่นใจชาวยโสธรร่วมใจฉีดวัคซีนโควิด-19 มีวัคซีน 4 สูตร เลือกฉีดได้เลย,1/12/2021,ภาคตะวันออกเฉียงเหนือ,ยโสธร,สำนักงานประชาสัมพันธ์จังหวัดยโสธร,https://thainews.prd.go.th/th/news/detail/TCATG211201135737152
จังหวัดระยอง จัดสัปดาห์รณรงค์ฉีดวัคซีนป้องกันโควิด-19 สำหรับผู้ที่ยังไม่ได้รับการฉีดวัคซีนเข็มแรก ระหว่างวันที่ 1- 5 ธันวาคมนี้,1/12/2021,ภาคตะวันออก,ระยอง,สวท.ระยอง,https://thainews.prd.go.th/th/news/detail/TCATG211201140757160
ชัยภูมิ เผย 3 สูตรวัคซีน เร่งฉีดเชิงรุกให้ครบ 70 % ภายในสัปดาห์นี้,1/12/2021,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,สวท.ชัยภูมิ,https://thainews.prd.go.th/th/news/detail/TCATG211201164244294
จังหวัดสตูล ประชุม ศบค.จังหวัด เน้นติดตามและป้องกันการแพร่ระบาดของเชื้อโรค COVID-19 สายพันธุ์ใหม่ ในพื้นที่ทั้งทางบกและทางเรือ ย้ำวัคซีนยังเป็นสิ่งสำคัญที่สุดในการลดความรุนแรงของผู้ติดเชื้อ,1/12/2021,ภาคใต้,สตูล,สวท.สตูล,https://thainews.prd.go.th/th/news/detail/TCATG211201171112316
จังหวัดยโสธร ประชุมติดตามสถานการณ์โควิด-19 พร้อมรณรงค์ประชาชนฉีดวัคซีนมี 3 สูตรให้เลือก ยืดอกพกบัตรประชาชนไปฉีดได้ที่โรงพยาบาลใกล้บ้านทุกแห่ง ภายในวันที่ 5 ธันวาคม 2564 นี้,1/12/2021,ภาคตะวันออกเฉียงเหนือ,ยโสธร,สำนักงานประชาสัมพันธ์จังหวัดยโสธร,https://thainews.prd.go.th/th/news/detail/TCATG211201200552379
รายงานพิเศษ : “โอไมครอน” เชื้อโควิด-19 กลายพันธุ์ที่กำลังสร้างความหวาดกลัวไปทั่วโลก (2 ธ.ค. 64),2/12/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211202093930518
ชาวยะลา เริ่มฉีด “โมเดอร์นา” กระตุ้นภูมิต้านโควิดพันธุ์ใหม่ ศูนย์ฉีดฯ คึกคัก,2/12/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211202094658530
อังกฤษพบผู้ติดเชื้อโควิด-19 กลายพันธุ์สายพันธุ์โอไมครอนแล้วกว่า 30 คน,2/12/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211202111814585
"จังหวัดตรังแถลงในวันนี้พบผู้ป่วยโควิด -19 จำนวน 88 ราย รวมสะสม 15,978 ราย หายป่วย 84 ราย หายป่วยสะสม 15,297 รักษาหายร้อยละ 95.73 เสียชีวิต 1 ราย",2/12/2021,ภาคใต้,ตรัง,สำนักงานประชาสัมพันธ์จังหวัดตรัง,https://thainews.prd.go.th/th/news/detail/TCATG211202151055721
จ.ลำปาง เปิดให้ประชาชน walk in เลือกสูตรฉีดวัคซีนป้องกันโควิด-19 กระตุ้นการสร้างภูมิคุ้มกันหมู่,2/12/2021,ภาคเหนือ,ลำปาง,สวท.ลำปาง,https://thainews.prd.go.th/th/news/detail/TCATG211202145525702
จังหวัดชัยนาท ประชุมคณะกรรมการโรคติดต่อจังหวัดชัยนาท  เพื่อพิจารณาการจัดตั้งสถานที่กักกัน Local Quarantine ของจังหวัดชัยนาท รองรับผู้สัมผัสเสี่ยงสูง แนวทางปฏิบัติของสถานที่และกิจกรรมตามมาตรการป้องกันควบคุมโรคติดเชื้อไวรัสโคโรนา 2019 (COVID – 19),2/12/2021,ภาคกลางและปริมณฑล,ชัยนาท,สำนักงานประชาสัมพันธ์จังหวัดชัยนาท,https://thainews.prd.go.th/th/news/detail/TCATG211202160615756
ภูเก็ต โซเชียลเผยแพร่ประชาชนโวยวายหลังจากมารอคิวฉีดไฟเซอร์ สุดท้ายกลับไปเปลี่ยนผ้าแล้วได้ฉีดตามคิว,2/12/2021,ภาคใต้,ภูเก็ต,สำนักงานประชาสัมพันธ์จังหวัดภูเก็ต,https://thainews.prd.go.th/th/news/detail/TCATG211202185029875
มทบ.32 เดินหน้าสนับสนุนนโยบาย 100 วัน 100 % มุ่งฉีดวัคซีนโควิด-19 ตามโครงการของจังหวัดลำปาง,2/12/2021,ภาคเหนือ,ลำปาง,สวท.ลำปาง,https://thainews.prd.go.th/th/news/detail/TCATG211202181008824
