NewsTitle,NewsDate,Region,Province,Department,Link_News
"อิสราเอลเตรียมทำลายวัคซีนโควิด-19 กว่า 800,000 โดสที่จะหมดอายุในช่วงปลายเดือนกรกฎาคม",1/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210701120428122
จ.ลำปาง ออกหนังสือด่วนที่สุด เฝ้าระวังควบคุมการเดินทางของบุคคลเข้ามายังพื้นที่ ควบคุมโควิด 19 ให้อยู่ในสถานการณ์ที่จำกัด,1/7/2021,ภาคเหนือ,ลำปาง,สวท.ลำปาง,https://thainews.prd.go.th/th/news/detail/TCATG210701084911010
วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป,1/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210701203045414
วัคซีนโควิด-19 ชนิดเอ็มอาร์เอ็นเอของบริษัทเคียวร์แวคจากเยอรมนีมีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น,1/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210701202825410
รายงานพิเศษ: วัคซีนโควิด-19 กับความเหลื่อมล้ำ(ออกอากาศ 2 ก.ค.64),2/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210703201645049
วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป,2/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210702055902435
วัคซีนโควิด-19 ชนิดเอ็มอาร์เอ็นเอของบริษัทเคียวร์แวคจากเยอรมนีมีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น,2/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210702055913436
สธ. วางมาตรการดูแลเด็กเล็กหลังพบเด็กติดเขื้อกว่าสี่พันคนทั่วประเทศ,2/7/2021,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,สวท.ขอนแก่น,https://thainews.prd.go.th/th/news/detail/TCATG210702135458597
องค์การยาแห่งสหภาพยุโรป หรือ อีเอ็มเอ ระบุ การฉีดวัคซีนโควิด-19 ครบ 2 โดส สามารถป้องกันการระบาดของเชื้อโควิด-19 สายพันธุ์เดลตา,2/7/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210702185118768
กระทรวงสาธารณสุข จัดหาวัคซีนไฟเซอร์เพิ่มเติม อยู่ระหว่างตรวจร่างสัญญาการจัดซื้อ คาดว่าจะแล้วเสร็จในวันที่ 5 กรกฎาคมนี้,3/7/2021,ภาคกลางและปริมณฑล,NULL,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210703151057973
เยอรมนีแนะนำให้ฉีดวัคซีนโควิด-19 ต่างชนิดกัน ซึ่งจะช่วยป้องกันเชื้อสายพันธุ์เดลตาได้ดีกว่าฉีดชนิดเดียวกัน 2 โดส,3/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210703175635015
แอฟริกาใต้ อนุมัติการใช้วัคซีนโควิด-19 ของซิโนแวค เป็นกรณีฉุกเฉิน เพื่อเร่งโครงการการฉีดวัคซีนให้ประชาชน,4/7/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210704072426063
อิสราเอลกำลังเจรจากับประเทศอื่น ๆ เพื่อมอบวัคซีนโควิด-19 ของไฟเซอร์ไบโอเอ็นเทคส่วนเกิน ที่จะหมดอายุภายในสิ้นเดือนนี้,5/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210705175415559
สธ.ระบุเอกสารการประชุมวัคซีนที่แชร์ในสื่อโซเชียลไม่ใช่ความเห็นอย่างเป็นทางการ,6/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210706084831660
ครม.พิจารณาสัญญาจัดซื้อวัคซีนไฟเซอร์ 20 ล้านโดส,6/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210706102926705
อิสราเอล ระบุ เชื้อโควิด-19 สายพันธุ์เดลตา ทำให้วัคซีนของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิภาพลดลง,6/7/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210706123732804
ครม. เห็นชอบจัดซื้อวัคซีนไฟเซอร์ 20 ล้านโดส จัดซื้อโมเดอร์นา เป็นวัคซีนทางเลือก จัดซื้อซิโนแวค อีก 10.9 ล้านโดส,6/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210706160312909
ประมวลข่าวทั่วไทยประจำวันที่ 6 กรกฎาคม 2564,6/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210706162822924
อิสราเอลและเกาหลีใต้ บรรลุข้อกลงแลกเปลี่ยนวัคซีนโควิด-19 ของไฟเซอร์-ไบเอ็นเทค จำนวน 7 แสนโดส,6/7/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210706230933095
อิสราเอลฉีดวัคซีนโควิด-19 ให้เยาวชนช่วงอายุ 12-15 ปีแล้วร้อยละ 23.1,7/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210707060949099
ครม. มีมติเห็นชอบมอบให้กรมควบคุมโรคลงนามจัดซื้อวัคซีนไฟเซอร์ 20 ล้านโดส,7/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210707073106103
ยื่นหนังสือต่อประธานผู้แทนราษฎรและพรรคการเมือง เร่งรัดการนำเข้าวัคซีนชนิด mRNA เป็นวัคซีนหลักของประเทศ ฉีดประชาชนฟรี,7/7/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210707135429267
แพทย์ มช. แนะผู้ป่วยโรคไต ควรฉีดวัคซีน COVID-19 หากติดเชื้อมีโอกาสเสียชีวิตสูง,7/7/2021,ภาคเหนือ,เชียงใหม่,สวท.เชียงใหม่,https://thainews.prd.go.th/th/news/detail/TCATG210707152633346
