NewsTitle,NewsDate,Region,Province,Department,Link_News
ลาวจะได้รับวัคซีนโควิด-19 ของบริษัทไฟเซอร์ในอีกไม่กี่วันข้างหน้า,2/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210602054457449
อิสราเอล พบความเชื่อมโยงระหว่างการฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สอง กับอาการกล้ามเนื้อหัวใจอักเสบ,2/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210602104623518
ผลสำรวจอีสานโพล พบคนอีสานร้อยละ 66.4 พร้อมฉีดวัคซีน ส่วนคนที่ไม่กล้าฉีดรอ “ไฟเซอร์” มากที่สุด พร้อมแนะรัฐบาลเร่งแก้ปัญหาเร่งด่วน เพราะคะแนนความพึงพอใจตกลงมามาก,2/6/2021,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,สวท.ขอนแก่น,https://thainews.prd.go.th/th/news/detail/TCATG210602141444607
อิสราเอลจะเริ่มฉีดวัคซีนโควิด-19ให้เยาวชนอายุ 12-15 ปีในสัปดาห์หน้า,3/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210603181847193
สหรัฐอาจประกาศรายละเอียดเกี่ยวกับแผนการกระจายวัคซีนโควิด-19 จำนวน 80 ล้านโดสไปทั่วโลกในวันนี้,3/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210603194535221
สิงคโปร์อนุมัติใช้วัคซีนโควิด-19ของซิโนแวก หลังองค์การอนามัยโลกให้การรับรองใช้งานเป็นกรณีฉุกเฉิน,3/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210603200925226
รายงานพิเศษ : ความคืบหน้าวัคซีนโควิด-19 (4 มิ.ย. 64),4/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210604004408242
อธิบดีกรมควบคุมโรค เผยในเดือนมิถุนายนนี้จะมีวัคซีนโควิด19 ประมาณ 6 ล้านโดส กระจายไปยังทุกจังหวัดในทุกสัปดาห์ คาดว่าสิ้นเดือนมิถุนายนจะสามารถฉีดให้ประชาชนมากถึง 10 ล้านโดส ย้ำวัคซีนแอสตร้าเซนเนก้าและซิโนแวค มีความปลอดภัย สามารถฉีดให้กับประชาชนที่อายุ18 ปีขึ้นไปได้,4/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210604152827385
ญี่ปุ่นมอบวัคซีนโควิด-19 ของแอสตราเซเนกา กว่า 1 ล้าน 2 แสนโดส ให้ไต้หวัน,4/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210604222744608
อิสราเอลมียอดผู้ป่วยโรคโควิด-19 ที่กำลังรักษาตัว น้อยกว่า 200 คน ต่ำที่สุดเป็นประวัติการณ์,4/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210604222749609
