NewsTitle,NewsDate,Region,Province,Department,Link_News
ประชาชน  ลงทะเบียน Booster Dose   เข็ม 3  คึกคัก ด้าน รพ. ยะลา  เร่ง เก็บตกนักเรียน ฉีดเข็ม 2ไฟเซอร์,1/11/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211101104533065
โรงเรียนในจังหวัดน่าน ต้อนรับเปิดเทอมวันแรก ภายใต้มาตรการการป้องกันโรคโรคโควิด-19,1/11/2021,ภาคเหนือ,น่าน,สวท.น่าน,https://thainews.prd.go.th/th/news/detail/TCATG211101105333072
จ.ขอนแก่น เปิดเรียนวันแรกตามนโยบายรัฐ คุมเข้มด้านสาธารณสุข จัดนักเรียนมาเรียน คนละครึ่ง,1/11/2021,NULL,ขอนแก่น,สวท.ขอนแก่น,https://thainews.prd.go.th/th/news/detail/TCATG211101150635149
ผู้ว่าราชการจังหวัดปทุมธานี ประกาศความพร้อมเปิดจังหวัดปทุมธานี ต้อนรับการท่องเที่ยว เดินหน้าลุย เพื่อฟื้นเศรษฐกิจจังหวัดปทุมธานี ไปพร้อมกับควบคุมโควิด-19 อย่างมีประสิทธิภาพ ย้ำต้องการเห็นภาพประชาชนมีความสุข บนความปลอดภัย,1/11/2021,ภาคกลางและปริมณฑล,ปทุมธานี,สำนักงานประชาสัมพันธ์จังหวัดปทุมธานี,https://thainews.prd.go.th/th/news/detail/TCATG211101170016231
ประมวลข่าวทั่วไทยประจำวันที่ 1 พฤศจิกายน 2564,1/11/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG211101162743207
จังหวัดแพร่ประชุมคณะกรรมการโรคติดต่อครั้งที่ 34 ประจำปี 2564 และคณะกรรมการดำเนินการยับยั้งภัยพิบัติกรณีฉุกเฉิน,1/11/2021,ภาคเหนือ,แพร่,สำนักงานประชาสัมพันธ์จังหวัดแพร่,https://thainews.prd.go.th/th/news/detail/TCATG211101164923220
จังหวัดสตูล ประชุมคณะทำงานติดตามและควบคุมการปฏิบัติตามมาตรฐานแนวทางปฏิบัติในการเปิดรับนักท่องเที่ยว (SOP) หลังจากเปิดพื้นที่นำร่องเที่ยวเกาะหลีเป๊ะและแหล่งท่องเที่ยวชุมชนบ้านวังสายทองผ่านมา 15 วัน,1/11/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สำนักงานประชาสัมพันธ์จังหวัดสตูล,https://thainews.prd.go.th/th/news/detail/TCATG211101175746286
ศรีสะเกษ !! เร่งฉีดวัคซีน นร.พร้อมเฝ้าระวังคลัสเตอร์ เลือก อบต,1/11/2021,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,สำนักงานประชาสัมพันธ์จังหวัดศรีสะเกษ,https://thainews.prd.go.th/th/news/detail/TCATG211101214020378
จังหวัดสตูล ประชุมคณะทำงานติดตามและควบคุมการปฏิบัติตามมาตรฐานแนวทางปฏิบัติในการเปิดรับนักท่องเที่ยว (SOP) หลังจากเปิดพื้นที่นำร่องเที่ยวเกาะหลีเป๊ะและแหล่งท่องเที่ยวชุมชนบ้านวังสายทอง ผ่านมา 15 วัน,1/11/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สำนักงานประชาสัมพันธ์จังหวัดสตูล,https://thainews.prd.go.th/th/news/detail/TCATG211101210227365
นายอำเภอ ยะหริ่ง และสาธารณสุขอำเภอยะหริ่ง จังหวัดปัตตานี  ลงพื้นที่เยี่ยมให้กำลังใจเจ้าหน้าที่ผู้ปฏิบัติงาน  คณะอาจารย์ บุคลากรทางการศึกษา นักเรียน  เข้ารับบริการฉีดวัคซีนป้องกันโควิด-19 ไฟเซอร์ (Pfizer) เข็ม 1 ณ โรงเรียนส่งเสริมศาสตร์ ต.ตันหยงดาลอ อ.ยะหริ่ง จ.ปัตตานี,1/11/2021,NULL,ปัตตานี,สวท.ปัตตานี,https://thainews.prd.go.th/th/news/detail/TCATG211101220019396
ประชาชนพื้นที่เสี่ยงยะลา เริ่มฉีด เข็ม 3 บูสเตอร์โดส กระตุ้นภูมิป้องกันโควิด-19,2/11/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211102091842442
จังหวัดปัตตานีบริการฉีดวัคซีนไฟเซอร์ เข็มแรก ในเขต พื้นที่ อ.มายอ จ.ปัตตานี,2/11/2021,ภาคใต้,ปัตตานี,สวท.ปัตตานี,https://thainews.prd.go.th/th/news/detail/TCATG211102115839534
ยะลา ผนึกกำลังเร่งลดโควิดระบาด  เอาจริง ผู้ไม่ฉีดวัคซีนห้ามเข้าเมือง ควบคู่ ตั้งจุดบริการฉีดเข็มแรก อำนวยความสะดวกประชาชน,2/11/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211102130841551
ยะลายอดติดเชื้อลดลง หลุดโผล 10 อับดับของประเทศ เสียชีวิตรายใหม่ 7 ราย ผู้ว่าฯยะลา รณรงค์เร่งยอดการฉีดวัคซีนในพื้นที่,2/11/2021,ภาคใต้,ยะลา,สำนักงานประชาสัมพันธ์จังหวัดยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211102142754596
ยะลา โควิดติดเชื้อลดลง หลุดโผ ท็อปเท็น ขณะที่ตาย 7 ราย ด้าน ผวจ.ยะลา เดินหน้าฉีดวัคซีนในพื้นที่ให้ครอบคลุม,2/11/2021,ภาคใต้,ยะลา,สวท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211102143248602
ลำปาง เปิด Onsite ภาคเรียนที่ 2 บรรยากาศคึกคัก ขณะที่ทุกโรงเรียนยังคงมาตรการเข้ม,2/11/2021,ภาคเหนือ,ลำปาง,สำนักงานประชาสัมพันธ์จังหวัดลำปาง,https://thainews.prd.go.th/th/news/detail/TCATG211102145129628
แนวโน้มผู้ติดเชื้อโควิด-19 จังหวัดชายแดนใต้ลดลง หลังรัฐบาลบูรณาการทุกภาคส่วนในท้องที่,2/11/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211102172021793
สหรัฐเตรียมฉีดวัคซีนโควิด-19 ให้เด็กอายุ 5-11 ปีในสัปดาห์นี้,2/11/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211103135735108
จังหวัดสตูล ประชุมคณะกรรมการโรคติดต่อจังหวัดสตูล และคณะกรรมการศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019,2/11/2021,ภาคใต้,สตูล,สำนักงานประชาสัมพันธ์จังหวัดสตูล,https://thainews.prd.go.th/th/news/detail/TCATG211102172630806
บึงกาฬเปิดเทอม เร่งฉีดวัคซีนไฟเซอร์ให้เด็กนักเรียน กระทรวงสาธารณสุขยืนยันว่าเด็กผู้ชายอายุ 12-16 ปี จะฉีดเข็มสองหรือไม่ก็ได้ขึ้นอยู่กับความสมัครใจของผู้ปกครองและเด็ก,2/11/2021,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,สวท.บึงกาฬ,https://thainews.prd.go.th/th/news/detail/TCATG211102222525914
