NewsTitle,NewsDate,Region,Province,Department,Link_News
จ.สุรินทร์ ขอความร่วมมือปฏิบัติตามมาตรการด้านสาธารณสุข เพื่อป้องกันการแพร่ระบาดของโรค โควิด-19,1/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สวท.สุรินทร์,https://thainews.prd.go.th/th/news/detail/TCATG210901145804206
จังหวัดแพร่ประชุมคณะกรรมการโรคติดต่อครั้งที่ 30 ประจำปี 2564 ร่วมกับคณะทำงานศูนย์ปฏิบัติการควบคุมโรคหน่วยงานภาครัฐและเอกชนที่เกี่ยวข้อง,1/9/2021,ภาคเหนือ,แพร่,สำนักงานประชาสัมพันธ์จังหวัดแพร่,https://thainews.prd.go.th/th/news/detail/TCATG210901154936250
ผลวิจัยในอิสราเอลชี้ว่า การฉีดวัคซีนเข็มสามของไฟเซอร์/ไบโอเอ็นเทค ลดความเสี่ยงติดเชื้อโควิด-19ได้ถึงร้อยละ 80,1/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210901182232369
ผู้นำศาสนาในพื้นที่ อ.เบตง จ.ยะลา เข้ารับการฉีดวัคซีนอย่างต่อเนื่องเพื่อสร้างภูมิกันหมู่สามารถกลับมาประกอบศาสนกิจที่มัสยิดได้,1/9/2021,ภาคใต้,ยะลา,สวท.เบตง จ.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210901212431412
อิสราเอล เร่งเดินหน้าฉีดวัคซีนโควิด-19 เข็มที่ 3 ให้ประชาชน ยับยั้งการระบาดของเชื้อสายพันธุ์เดลตา,2/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210902083124431
"ครม.อนุมัติงบจัดซื้อวัคซีนไฟเซอร์เพิ่มเติม 9,998,820 โดส",2/9/2021,ภาคกลางและปริมณฑล,สมุทรปราการ,สำนักงานประชาสัมพันธ์จังหวัดสมุทรปราการ,https://thainews.prd.go.th/th/news/detail/TCATG210902093836457
กระทรวงสาธารณสุข เผยฉีดวัคซีนสูตรไขว้ซิโนแวค-แอสตร้าเซนเนก้า สู้สายพันธุ์เดลตา ยืนยันภูมิขึ้นสูง มีความปลอดภัย,2/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210902110035512
จ.อุดรธานีแถลงข่าวโควิด-19  ประจำวัน,2/9/2021,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,สำนักงานประชาสัมพันธ์จังหวัดอุดรธานี,https://thainews.prd.go.th/th/news/detail/TCATG210902105821510
จ.เลย พบผู้ป่วยติดเชื้อโควิด-19  เพิ่มขึ้นจำนวน 19 ราย  เป็นผู้ป่วยที่ติดเชื้อในพื้นที่ 2 ราย และนอกพื้นที่  17 ราย สำหรับอาการผู้ป่วยที่รักษาตัวอยู่ส่วนใหญ่ไม่มีอาการหรือมีอาการเพียงเล็กน้อย,2/9/2021,ภาคตะวันออกเฉียงเหนือ,เลย,สวท.เลย,https://thainews.prd.go.th/th/news/detail/TCATG210902124543566
สสจ.สุพรรณบุรี แนะวิธีดูแลเด็กป่วยโควิด คาดได้รับการจัดสรรวัคซีนสำหรับเด็กอายุ 12  ปีขึ้นไป ในไตรมาสที่ 4,2/9/2021,ภาคกลางและปริมณฑล,สุพรรณบุรี,สวท.สุพรรณบุรี,https://thainews.prd.go.th/th/news/detail/TCATG210902125527571
